user,image,caption,engagement,labels
aashnashroff_969148_3000403601659402518_25980_65,instagram_dataset/Data/aashnashroff_969148_3000403601659402518_25980_65/2022-12-24_15-33-23_UTC_7.jpg,Bonjour Paree 🥐 ready for a Parisian Christmas this year 🥰,65,"['Jacket', 'Winter', 'Happiness', 'Travel', 'Camera', 'Cameras & optics', 'Dome', 'Fur clothing', 'Vacation', 'Telescope']"
aashnashroff_969148_3001141559987517310_32578_110,instagram_dataset/Data/aashnashroff_969148_3001141559987517310_32578_110/2022-12-25_15-59-34_UTC_2.jpg,"Just popping in to wish you a Merry Christmas 🎄✨ hope you’re having the best holidays!🥰

jacket @meshabyamisha
jewellery @isharya
skirt & boots @hm
bag @chanelofficial",110,"['Fur', 'Winter', 'Natural material', 'Animal product', 'Model', 'Fur clothing', 'Photo shoot', 'Velvet', 'High-heeled shoe', 'Fashion Model']"
aashnashroff_969148_3003120692652957440_11151_65,instagram_dataset/Data/aashnashroff_969148_3003120692652957440_11151_65/2022-12-28_09-31-45_UTC_1.jpg,Louvre Day 💙,65,"['Blue', 'Fashion', 'Smile', 'Overcoat', 'Woolen', 'Model', 'Photo shoot', 'Winter', 'Wool', 'Scarf']"
aashnashroff_969148_3008835738892847055_18242_57,instagram_dataset/Data/aashnashroff_969148_3008835738892847055_18242_57/2023-01-05_06-46-32_UTC_5.jpg,"Happy 2023 from our frozen but happy faces 🥰

Took a few days off to start the new year by making the most of our vacation. But I have a lot to share from the last leg of our trip with you, before I go back home this weekend for a very exciting month ahead! Hope you’re all having the best start to the new year ✨",57,"['Food', 'Waffle', 'Dessert', 'Cream', 'Dairy product', 'Ice cream', 'Belgian waffle', 'Frozen dessert', 'Fast food', 'Finger food']"
aashnashroff_969148_3009102200601692335_30085_124,instagram_dataset/Data/aashnashroff_969148_3009102200601692335_30085_124/2023-01-05_15-35-57_UTC_1.jpg,🧇 on my mind,124,"['Sleeve', 'Bag', 'Fashion', 'Textile', 'Luggage & bags', 'Waist', 'Cardigan', 'Blazer', 'Handbag', 'Denim']"
aashnashroff_969148_3009797043590266061_11735_45,instagram_dataset/Data/aashnashroff_969148_3009797043590266061_11735_45/2023-01-06_14-36-29_UTC_3.jpg,Bruges 🚆 Amsterdam,45,"['Jacket', 'Winter', 'Bag', 'Overcoat']"
aashnashroff_969148_3010538447664611840_19326_58,instagram_dataset/Data/aashnashroff_969148_3010538447664611840_19326_58/2023-01-07_15-09-31_UTC_9.jpg,72 hours (that felt like 3 different seasons 🥶🌧️☀️) in Amsterdam,58,"['Fashion', 'Overcoat', 'Jacket', 'Winter', 'Bag', 'Travel', 'Duster', 'Vacation', 'Walking', 'Holiday']"
aashnashroff_969148_3020623426599973482_39232_190,instagram_dataset/Data/aashnashroff_969148_3020623426599973482_39232_190/2023-01-21_13-06-34_UTC_3.jpg,"a whole lot of sparkles with my favourite boy for night 1 at @atlantistheroyal yesterday ✨✨

wearing @zabellaofficial
bag @outhousejewellery
earrings @maisonvalentino

#collaboration #atlantistheroyal",190,"['Sleeve', 'Fashion', 'Textile', 'Waist', 'Fashion Model', 'Fashion design', 'Model', 'Long hair', 'Makeover', 'Natural material']"
aashnashroff_969148_3020709764846182672_27738_130,instagram_dataset/Data/aashnashroff_969148_3020709764846182672_27738_130/2023-01-21_15-58-06_UTC_2.jpg,"Feed your soul with some end of season sale shopping 🤩

@danielwellington’s offering upto 30% off on select products and an additional 15% off with my code AASHNAXDW head to their website now!!!",130,"['Watch', 'Fashion', 'Jewellery', 'Facial expression', 'Eyelash', 'Wrist', 'Bracelet', 'Long hair', 'Fashion Model', 'Natural material']"
aashnashroff_969148_3021889886877941780_41835_148,instagram_dataset/Data/aashnashroff_969148_3021889886877941780_41835_148/2023-01-23_07-02-48_UTC_1.jpg,Red carpet moments from @atlantistheroyal’s Grand Opening night ✨,148,"['Formal wear', 'Fashion', 'Event', 'Bow tie', 'Coat', 'Tuxedo', 'Dress', 'Blazer', 'Suit', 'Fashion design']"
